time_s,rail_v,trigger_v
0.000000000,3.300000,0.000
0.000005000,3.303502,0.000
0.000010000,3.305133,0.000
0.000015000,3.304438,0.000
0.000020000,3.302699,0.000
0.000025000,3.301920,0.000
0.000030000,3.303252,0.000
0.000035000,3.306087,0.000
0.000040000,3.308511,0.000
0.000045000,3.308774,0.000
0.000050000,3.306635,0.000
0.000055000,3.303552,0.000
0.000060000,3.301562,0.000
0.000065000,3.301719,0.000
0.000070000,3.303297,0.000
0.000075000,3.304376,0.000
0.000080000,3.303344,0.000
0.000085000,3.300177,0.000
0.000090000,3.296483,0.000
0.000095000,3.294291,0.000
0.000100000,3.294514,0.000
0.000105000,3.296271,0.000
0.000110000,3.297593,0.000
0.000115000,3.296967,0.000
0.000120000,3.294521,0.000
0.000125000,3.291940,0.000
0.000130000,3.291169,0.000
0.000135000,3.292915,0.000
0.000140000,3.296095,0.000
0.000145000,3.298663,0.000
0.000150000,3.299178,0.000
0.000155000,3.297894,0.000
0.000160000,3.296544,0.000
0.000165000,3.296972,0.000
0.000170000,3.299681,0.000
0.000175000,3.303414,0.000
0.000180000,3.306094,0.000
0.000185000,3.306402,0.000
0.000190000,3.304767,0.000
0.000195000,3.303009,0.000
0.000200000,3.302918,0.000
0.000205000,3.304850,0.000
0.000210000,3.307445,0.000
0.000215000,3.308674,0.000
0.000220000,3.307402,0.000
0.000225000,3.304277,0.000
0.000230000,3.301240,0.000
0.000235000,3.300040,0.000
0.000240000,3.300907,0.000
0.000245000,3.302400,0.000
0.000250000,3.302545,0.000
0.000255000,3.300392,0.000
0.000260000,3.296777,0.000
0.000265000,3.293710,0.000
0.000270000,3.292844,0.000
0.000275000,3.294230,0.000
0.000280000,3.296295,0.000
0.000285000,3.297080,0.000
0.000290000,3.295762,0.000
0.000295000,3.293300,0.000
0.000300000,3.291696,0.000
0.000305000,3.292444,0.000
0.000310000,3.295368,0.000
0.000315000,3.298743,0.000
0.000320000,3.300607,0.000
0.000325000,3.300255,0.000
0.000330000,3.298758,0.000
0.000335000,3.298104,0.000
0.000340000,3.299634,0.000
0.000345000,3.302978,0.000
0.000350000,3.306307,0.000
0.000355000,3.307723,0.000
0.000360000,3.306698,0.000
0.000365000,3.304465,0.000
0.000370000,3.303044,0.000
0.000375000,3.303678,0.000
0.000380000,3.305862,0.000
0.000385000,3.307735,0.000
0.000390000,3.307526,0.000
0.000395000,3.304931,0.000
